"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:33:57.4381905 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: ==>main"
"4:33:57.4405122 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: Acesta e logul meu 1"
"4:33:57.4405302 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: ==>Func1"
"4:33:57.4405478 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: <==Func1"
"4:33:57.4405557 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: ==>Func2"
"4:33:57.4405638 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: <==Func2"
"4:33:57.4405708 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: ==>Func3"
"4:33:57.4405785 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: <==Func3"
"4:33:57.4405866 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: Acesta e logul meu 2"
"4:33:57.4405937 PM","EvenimenteProcMon.exe","5452","Debug Output Profiling","","","Output: <==main"
